code1,code2,clone_label
"def multiply(a, b): return a * b",for i in range(100): continue,0.09
while True: pass,for i in range(100): continue,0.33
"def multiply(a, b): return a * b","def product(x, y): return x * y",0.94
if a > b: print(a),if b < a: print(b),0.53
"def divide(a, b): return a / b","def divide(x, y): return x / y",1.0
"a = 5
b = 10
print(a + b)",print('World'),0.11
while True: pass,"def divide(x, y): return x / y",0.13
if a > b: print(a),"def square(n): return pow(n, 2)",0.34
def greet(): print('Hello'),def greet(): print('Hi'),0.8
if a > b: print(a),"def square(n): return pow(n, 2)",0.34
def square(n): return n * n,"def square(n): return pow(n, 2)",0.86
"a = 5
b = 10
print(a + b)","def sum(x, y): return x + y",0.22
while True: pass,def greet(): print('Hi'),0.18
def square(n): return n * n,"def square(n): return pow(n, 2)",0.94
"def multiply(a, b): return a * b",for i in range(100): continue,0.31
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",1.0
"def multiply(a, b): return a * b","def product(x, y): return x * y",0.9
"def add(a, b): return a + b","def sum(x, y): return x + y",1.0
print('Hello'),print('World'),0.0
def square(n): return n * n,"def divide(x, y): return x / y",0.31
def greet(): print('Hello'),def greet(): print('Hi'),0.7
for i in range(10): print(i),"x = 5
y = 10
print(x + y)",0.11
def greet(): print('Hello'),def greet(): print('Hi'),0.88
if a > b: print(a),if b < a: print(b),0.43
if a > b: print(a),def greet(): print('Hi'),0.34
"def multiply(a, b): return a * b","i = 0
while i < 10:
    print(i)
    i += 1",0.07
if a > b: print(a),"def sum(x, y): return x + y",0.39
if a > b: print(a),print('World'),0.26
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
while True: pass,if b < a: print(b),0.17
"def multiply(a, b): return a * b","def product(x, y): return x * y",0.9
while True: pass,for i in range(100): continue,0.21
if a > b: print(a),if b < a: print(b),0.53
"def divide(a, b): return a / b","def divide(x, y): return x / y",1.0
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
if a > b: print(a),if b < a: print(b),0.51
def square(n): return n * n,"def square(n): return pow(n, 2)",0.86
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.99
if a > b: print(a),"def square(n): return pow(n, 2)",0.19
"def divide(a, b): return a / b",print('World'),0.12
"def divide(a, b): return a / b","def divide(x, y): return x / y",1.0
def greet(): print('Hello'),"x = 5
y = 10
print(x + y)",0.04
def square(n): return n * n,"def square(n): return pow(n, 2)",0.95
if a > b: print(a),"def square(n): return pow(n, 2)",0.35
"def add(a, b): return a + b","x = 5
y = 10
print(x + y)",0.17
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.98
"a = 5
b = 10
print(a + b)","x = 5
y = 10
print(x + y)",1.0
"a = 5
b = 10
print(a + b)","def product(x, y): return x * y",0.15
def greet(): print('Hello'),"def divide(x, y): return x / y",0.15
"def add(a, b): return a + b",for i in range(100): continue,0.37
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
"def multiply(a, b): return a * b","def product(x, y): return x * y",1.0
"def divide(a, b): return a / b","def divide(x, y): return x / y",0.95
